Date,Streamflow(CMS),Baseflow(CMS)
2016-08-21,0.485371294,0.319
2016-08-22,0.481824415,0.304
2016-08-23,0.566949517,0.323
2016-08-24,0.542654972,0.324
2016-08-25,1.011534192,0.47
2016-08-26,1.744322558,0.768
2016-08-27,2.0677626,1.012
2016-08-28,2.662775525,1.315
2016-08-29,1.982030873,1.25
2016-08-30,1.953170572,1.21
2016-08-31,1.948526146,1.189
2016-09-01,2.711684851,1.416
2016-09-02,4.691409073,2.14
2016-09-03,3.391224175,2.086
2016-09-04,2.911231001,1.911
2016-09-05,2.274018882,1.628
2016-09-06,1.908658482,1.378
2016-09-07,1.780010399,1.218
2016-09-08,1.627950705,1.093
2016-09-09,1.394889258,0.961
2016-09-10,1.295835417,0.866
2016-09-11,1.21002127,0.794
2016-09-12,1.258291728,0.774
2016-09-13,1.112925286,0.719
2016-09-14,1.082518358,0.683
2016-09-15,1.129013662,0.68
2016-09-16,8.506349066,2.968
2016-09-17,5.341025868,3.09
2016-09-18,3.219851142,2.491
2016-09-19,2.471465048,1.97
2016-09-20,1.934829305,1.551
2016-09-21,1.724259797,1.284
2016-09-22,1.555842904,1.103
2016-09-23,1.462265379,0.986
2016-09-24,1.378045228,0.904
2016-09-25,1.338742491,0.852
2016-09-26,1.520409095,0.883
2016-09-27,1.549730572,0.907
2016-09-28,2.405031333,1.184
2016-09-29,2.439502279,1.329
2016-09-30,1.837730456,1.212
2016-10-01,1.760933789,1.132
2016-10-02,1.742596793,1.087
2016-10-03,1.44691906,0.974
2016-10-04,3.416166762,1.53
2016-10-05,2.498255213,1.514
2016-10-06,2.431779591,1.486
2016-10-07,6.504692319,2.736
2016-10-08,3.163993433,2.303
2016-10-09,2.430236056,1.866
2016-10-10,2.147367458,1.567
2016-10-11,1.882977888,1.341
2016-10-12,1.657520218,1.162
2016-10-13,1.520409095,1.033
2016-10-14,1.400503935,0.933
2016-10-15,1.338742491,0.866
2016-10-16,1.338742491,0.834
2016-10-17,1.252928343,0.791
2016-10-18,1.148697491,0.738
2016-10-19,1.107814971,0.7
2016-10-20,1.053386237,0.665
2016-10-21,0.97570058,0.624
2016-10-22,0.970845226,0.603
2016-10-23,0.970845226,0.592
2016-10-24,1.902848583,0.876
2016-10-25,2.115038758,1.079
2016-10-26,1.515541692,0.991
2016-10-27,1.520409095,0.95
2016-10-28,1.458148414,0.911
2016-10-29,1.340752831,0.856
2016-10-30,1.301198801,0.817
2016-10-31,1.16913875,0.757
2016-11-01,1.082518358,0.701
2016-11-02,1.029109469,0.658
2016-11-03,0.97570058,0.62
2016-11-04,0.970845226,0.601
2016-11-05,0.970845226,0.591
2016-11-06,0.92026316,0.571
2016-11-07,0.860484354,0.543
2016-11-08,0.865082724,0.531
2016-11-09,0.856145139,0.522
2016-11-10,0.821431419,0.507
2016-11-11,0.786717699,0.489
2016-11-12,0.76068241,0.472
2016-11-13,0.756343195,0.463
2016-11-14,0.756343195,0.458
2016-11-15,0.740032319,0.451
2016-11-16,0.699255129,0.435
2016-11-17,0.678866534,0.421
2016-11-18,0.695438906,0.419
2016-11-19,1.085824704,0.539
2016-11-20,1.227376769,0.641
2016-11-21,1.155289106,0.668
2016-11-22,0.954248612,0.619
2016-11-23,0.817092204,0.552
2016-11-24,0.7359546,0.495
2016-11-25,0.687021972,0.452
2016-11-26,0.658477939,0.423
2016-11-27,1.121673025,0.552
2016-11-28,0.922839659,0.553
2016-11-29,0.907800512,0.549
2016-11-30,0.786717699,0.509
2016-12-01,0.77803927,0.487
2016-12-02,0.748187757,0.467
2016-12-03,0.687021972,0.439
2016-12-04,0.658477939,0.416
2016-12-05,0.658477939,0.405
2016-12-06,0.635595834,0.393
2016-12-07,0.586017939,0.372
2016-12-08,0.328603773,0.282
2016-12-09,0.20737633,0.2
2016-12-10,0.46216224,0.24
2016-12-11,0.499558811,0.271
2016-12-12,0.481824415,0.28
2016-12-13,0.496011932,0.289
2016-12-14,0.553028805,0.311
2016-12-15,0.650850571,0.352
2016-12-16,0.60508636,0.358
2016-12-17,0.563402638,0.348
2016-12-18,0.91661057,0.452
2016-12-19,0.69517741,0.434
2016-12-20,0.584605499,0.391
2016-12-21,0.667799429,0.396
2016-12-22,8.913563137,2.957
2016-12-23,4.353874386,2.779
2016-12-24,2.960950789,2.261
2016-12-25,2.252508261,1.791
2016-12-26,2.006246203,1.487
2016-12-27,2.394062557,1.461
2016-12-28,1.850938425,1.28
2016-12-29,1.555594867,1.101
2016-12-30,1.434191995,0.977
2016-12-31,1.31192557,0.879
2017-01-01,1.705731818,0.954
2017-01-02,1.72728445,0.997
2017-01-03,1.72728445,1.017
2017-01-04,1.697796479,1.018
2017-01-05,1.614247228,0.992
2017-01-06,1.609332566,0.978
2017-01-07,1.604579048,0.97
2017-01-08,1.650096737,0.98
2017-01-09,1.580811461,0.964
2017-01-10,1.490656668,0.928
2017-01-11,1.39423562,0.881
2017-01-12,1.38062416,0.854
2017-01-13,1.323053623,0.823
2017-01-14,1.253181328,0.786
2017-01-15,1.172319974,0.743
2017-01-16,1.160021315,0.719
2017-01-17,1.123125338,0.696
2017-01-18,1.114926232,0.682
2017-01-19,1.147722656,0.685
2017-01-20,1.176419527,0.696
2017-01-21,1.155921762,0.695
2017-01-22,1.13952355,0.689
2017-01-23,1.078030255,0.667
2017-01-24,1.046562472,0.647
2017-01-25,1.007227744,0.625
2017-01-26,1.003294271,0.613
2017-01-27,1.038695527,0.618
2017-01-28,1.01509469,0.613
2017-01-29,1.058362891,0.624
2017-01-30,1.082129808,0.637
2017-01-31,1.046562472,0.632
2017-02-01,1.019028163,0.621
2017-02-02,0.98756038,0.606
2017-02-03,0.792089107,0.538
2017-02-04,0.754264647,0.494
2017-02-05,0.912068299,0.522
2017-02-06,0.968561937,0.553
2017-02-07,0.964795694,0.566
2017-02-08,0.934665754,0.563
2017-02-09,0.934665754,0.562
2017-02-10,0.904535814,0.552
2017-02-11,0.889639292,0.543
2017-02-12,0.850063559,0.526
2017-02-13,0.835672384,0.513
2017-02-14,0.814085621,0.5
2017-02-15,0.846465766,0.504
2017-02-16,0.860856941,0.51
2017-02-17,0.893237086,0.523
2017-02-18,0.942198239,0.545
2017-02-19,0.964795694,0.563
2017-02-20,1.099523412,0.613
2017-02-21,1.248916783,0.684
2017-02-22,1.127389882,0.68
2017-02-23,1.603865935,0.826
2017-02-24,1.42783994,0.842
2017-02-25,1.17674951,0.772
2017-02-26,1.090328914,0.711
2017-02-27,1.074096782,0.677
2017-02-28,1.026895108,0.646
2017-03-01,1.038695527,0.634
2017-03-02,1.070163309,0.638
2017-03-03,1.022961635,0.625
2017-03-04,0.995427326,0.611
2017-03-05,0.983626907,0.6
2017-03-06,0.983626907,0.595
2017-03-07,0.983626907,0.593
2017-03-08,0.957263209,0.583
2017-03-09,0.908302056,0.563
2017-03-10,0.900769571,0.551
2017-03-11,0.893237086,0.543
2017-03-12,0.893237086,0.539
2017-03-13,0.871650323,0.531
2017-03-14,0.741757072,0.487
2017-03-15,0.776037578,0.476
2017-03-16,0.817683414,0.484
2017-03-17,0.824879002,0.49
2017-03-18,0.839270178,0.497
2017-03-19,0.817683414,0.494
2017-03-20,0.806890033,0.489
2017-03-21,0.814085621,0.489
2017-03-22,0.857259147,0.502
2017-03-23,0.893237086,0.52
2017-03-24,0.860856941,0.518
2017-03-25,0.853661353,0.515
2017-03-26,1.088887917,0.587
2017-03-27,1.18921316,0.652
2017-03-28,1.143623103,0.67
2017-03-29,1.078030255,0.658
2017-03-30,1.042629,0.641
2017-03-31,0.983626907,0.615
2017-04-01,1.063126765,0.627
2017-04-02,1.297466356,0.705
2017-04-03,1.244652239,0.727
2017-04-04,1.110826679,0.696
2017-04-05,1.094593458,0.676
2017-04-06,3.215462547,1.324
2017-04-07,3.238975177,1.644
2017-04-08,2.630596332,1.61
2017-04-09,2.221501201,1.467
2017-04-10,1.99628171,1.328
2017-04-11,2.461792879,1.405
2017-04-12,2.708725263,1.519
2017-04-13,2.160284921,1.404
2017-04-14,1.922524591,1.274
2017-04-15,2.023247209,1.243
2017-04-16,1.885724191,1.185
2017-04-17,2.091624451,1.221
2017-04-18,3.559506745,1.694
